id,original_sentence,transformed_sentence,relative_pronoun,number,model,size,model_and_size,N1,N2,exchanged_N2,masked_token,predicted_token,accuracy,was_position,were_position,was_position_interval,were_position_interval
48,During the meeting the chief of protocol tried to talk to the translator of the ambassador who,During the meeting the chiefs of protocol tried to talk to the translators of the city who <mask>,who,plural,RoBERTa,large,RoBERTa-large,chieftranslator,ambassador,city,were,were,1,11,4,3,1
49,Emily angered the brother of the visitor who,Emily angered the brothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,brother,visitor,house,were,were,1,20,1,4,1
50,Emily waited with the nieces of the florist who,Emily waited with the writers of the poem who <mask>,who,plural,RoBERTa,large,RoBERTa-large,writer,florist,poems,were,were,1,14,1,3,1
51,Everybody ignored the stepfather of the monk who,Everybody ignored the stepfathers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,stepfather,monk,house,were,were,1,10,1,2,1
52,Everybody in the office felt sorry about the death of the nephew of the director who,Everybody in the office felt sorry about the deaths of the nephews of the inheritence who <mask>,who,plural,RoBERTa,large,RoBERTa-large,deathnephew,director,inheritence ,were,were,1,55,22,5,5
53,Everyone knows the agent of the author who,Everyone knows the agents of the company who <mask>,who,plural,RoBERTa,large,RoBERTa-large,agent,author,company,were,were,1,84,13,5,3
54,Frank complimented the guests of the bride who,Frank complimented the guests of the hotel who <mask>,who,plural,RoBERTa,large,RoBERTa-large,guests,bride,hotel,were,were,1,14,1,3,1
55,Frank met the guests of the bride who,Frank met the guests of the hotel who <mask>,who,plural,RoBERTa,large,RoBERTa-large,guests,bride,hotel,were,were,1,11,1,3,1
56,Frank talked to the servants of the dictator who,Frank talked to the servants of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,servants,dictator,house,were,were,1,17,3,4,1
57,Friends liked the uncle of the surgeon who,Friends liked the uncles of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,uncle,surgeon,palace,were,were,1,25,1,5,1
58,George interviewed the representative of the employees who,George interviewed the representatives of the conference who <mask>,who,plural,RoBERTa,large,RoBERTa-large,representative,employees,conference,were,were,1,37,4,5,1
59,George was stroking the cat of the girl which   ,George was stroking the cats of the boy which <mask>,which,plural,RoBERTa,large,RoBERTa-large,cat,girl,boy,were,was,0,1,2,1,1
60,Greg smiles at the secretaries of the lawyer who,Greg smiles at the secretaries of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,secretaries,lawyer,office,were,were,1,311,35,5,5
61,I had to borrow the computer of the secretary which   ,I had to borrow the computers of the mechanic which <mask>,which,plural,RoBERTa,large,RoBERTa-large,computer,secretary,mechanic,were,was,0,1,3,1,1
62,I really liked the preface of the book which,I really liked the prefaces of the author which <mask>,which,plural,RoBERTa,large,RoBERTa-large,preface,book,author,were,were,1,10,5,2,1
63,I wanted to take the radio of the loudspeaker which,I wanted to take the radios of the host which <mask>,which,plural,RoBERTa,large,RoBERTa-large,radio,loudspeaker,host,were,were,1,3,1,1,1
64,I was surprised by the etching of the sculpture which,I was surprised by the etchings of the painter which <mask>,which,plural,RoBERTa,large,RoBERTa-large,etching,sculpture,painter,were,were,1,5,2,1,1
65,I was talking to the apprentice of the tailor who,I was talking to the apprentices of the college who <mask>,who,plural,RoBERTa,large,RoBERTa-large,apprentice,tailor,college,were,were,1,7,11,2,3
66,I was told the masseur of the skater who,I was told the masseurs of the salon who <mask>,who,plural,RoBERTa,large,RoBERTa-large,masseur,skater,salon,were,were,1,4,1,1,1
67,I watched the fans of the singers who,I watched the fans of the club who <mask>,who,plural,RoBERTa,large,RoBERTa-large,fans,singers,club,were,were,1,8,11,2,3
68,In the meeting they showed us the label of the bottle which,In the meeting they showed us the labels of the artist which <mask>,which,plural,RoBERTa,large,RoBERTa-large,label,bottle,artists,were,were,1,7,2,2,1
69,It was agreed to move the computer of the screen which,It was agreed to move the computers of the mechanic which <mask>,which,plural,RoBERTa,large,RoBERTa-large,computer,screen,mechanic,were,was,0,1,2,1,1
70,Ivana met the son of the delegates who,Ivana met the sons of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,son,delegates,house,were,were,1,19,1,4,1
71,Janet worked as the chauffeur of the actor who,Janet worked as the chauffeurs of the limousine who <mask>,who,plural,RoBERTa,large,RoBERTa-large,chauffeur,actor,limousine,were,was,0,1,2,1,1
72,Jared noticed the friends of the athlete who,Jared noticed the friends of the wedding who <mask>,who,plural,RoBERTa,large,RoBERTa-large,friends,athlete,wedding,were,were,1,7,11,2,3
73,Jenny joked with the maid of the executives who,Jenny joked with the maids of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,maid,executives,palace,were,were,1,16,1,4,1
74,Jessica worked with the doctors of the supermodel who,Jessica worked with the doctors of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,doctors,supermodel,hospital,were,were,1,8,1,2,1
75,Jill started out as the consultant of the director who,Jill started out as the consultants of the company who <mask>,who,plural,RoBERTa,large,RoBERTa-large,consultant,director,company,were,was,0,2,3,1,1
76,Joe ran into the brothers of the athlete who,Joe ran into the brothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,brothers,athlete,house,were,were,1,12,1,3,1
77,Joel hires the bodyguards of the celebrity who,Joel hires the bodyguards of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,bodyguards,celebrity,palace,were,were,1,101,7,5,2
78,John despised the chauffeur of the millionaire who,John despised the chauffeurs of the limousine who <mask>,who,plural,RoBERTa,large,RoBERTa-large,chauffeur,millionaire,limousine,were,were,1,29,2,5,1
79,John liked the mechanic of the officer who,John liked the mechanics of the factory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,mechanic,officer,factory,were,were,1,6,1,2,1
80,John lived next to the teacher of the secondgraders who,John lived next to the teachers of the school who <mask>,who,plural,RoBERTa,large,RoBERTa-large,teacher,secondgraders,school,were,were,1,11,1,3,1
81,John met the friend of the teacher who,John met the friends of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,friend,teacher,house,were,were,1,17,1,4,1
82,John smashed the car of the company which,John smashed the cars of the driver which <mask>,which,plural,RoBERTa,large,RoBERTa-large,car,company,driver,were,was,0,1,4,1,1
83,John was hired as the assistant of the inspector who,John was hired as the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistant,inspector,laboratory,were,was,0,1,4,1,1
84,Julia had spoken to the secretary of the lawyers who,Julia had spoken to the secretaries of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,secretary,lawyers,office,were,were,1,11,3,3,1
85,Justin carpools with the cousins of the accountant who,Justin carpools with the cousins of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,cousins,accountant,house,were,were,1,88,7,5,2
86,Kathy excelled as the secretary of the manager who,Kathy excelled as the secretaries of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,secretary,manager,office,were,were,1,4,2,1,1
87,Ken videotaped the assistants of the CEO who,Ken videotaped the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistants,CEO,laboratory,were,were,1,17,1,4,1
88,Kevin counted the fans of the singer who,Kevin counted the fans of the club who <mask>,who,plural,RoBERTa,large,RoBERTa-large,fans,singer,club,were,were,1,32,1,5,1
89,Laura knows the manager of the cashiers who,Laura knows the managers of the team who <mask>,who,plural,RoBERTa,large,RoBERTa-large,manager,cashiers,team,were,were,1,28,5,5,1
90,Laura lost the notebook of the sticker which,Laura lost the notebooks of the guide which <mask>,which,plural,RoBERTa,large,RoBERTa-large,notebook,sticker,guides,were,were,1,4,2,1,1
91,Leslie is the translator of the ambassador who,Leslie is the translators of the book who <mask>,who,plural,RoBERTa,large,RoBERTa-large,translator,ambassador,book,were,was,0,10,42,2,5
92,Lewis ran over the carriage of the fruiterer which   ,Lewis ran over the carriages of the bridegroom which <mask>,which,plural,RoBERTa,large,RoBERTa-large,carriage,fruiterer,bridegroom,were,was,0,2,3,1,1
93,Lewis ran over the dog of the fruiterer which   ,Lewis ran over the dogs of the boy which <mask>,which,plural,RoBERTa,large,RoBERTa-large,dog,fruiterer,boy,were,was,0,1,4,1,1
94,Linda wrote to the the manager of the assistants who,Linda wrote to the the managers of the team who <mask>,who,plural,RoBERTa,large,RoBERTa-large,manager,assistants,team,were,were,1,25,7,5,2
95,Louise recognized the surgeon of the star who,Louise recognized the surgeons of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,surgeon,star,hospital,were,were,1,22,3,5,1
96,Luis recognized the landlady of the actors who,Luis recognized the landladies of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,landlady,actors,house,were,were,1,8,1,2,1
97,Marcie as happy as the nurse of the surgeon who,Marcie as happy as the nurses of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nurse,surgeon,hospital,were,were,1,65,4,5,1
98,Maria knows the assistant of the politician who,Maria knows the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistant,politician,laboratory,were,were,1,146,9,5,2
99,Maria loved the gardener of the executive who,Maria loved the gardeners of the garden who <mask>,who,plural,RoBERTa,large,RoBERTa-large,gardener,executive,garden,were,were,1,26,1,5,1
100,Marta was wearing the sunhat of the scarf which,Marta was wearing the sunhats of the delegate which <mask>,which,plural,RoBERTa,large,RoBERTa-large,sunhat,scarf,delegates,were,were,1,2,1,1,1
101,Martha cheered the brother of the priest who,Martha cheered the brothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,brother,priest,house,were,were,1,41,2,5,1
102,Mary argued with the cousin of the milkman who,Mary argued with the cousins of the inheritence who <mask>,who,plural,RoBERTa,large,RoBERTa-large,cousin,milkman,inheritence ,were,were,1,7,3,2,1
103,Mary greeted the brother of the minister who,Mary greeted the brothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,brother,minister,house,were,were,1,33,1,5,1
104,Mary replaced the wire of the amplifiers which,Mary replaced the wires of the mechanic which <mask>,which,plural,RoBERTa,large,RoBERTa-large,wire,amplifiers,mechanic,were,was,0,1,3,1,1
105,Mary went to the cinema with the son of the milkman who,Mary went to the cinema with the sons of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,son,milkman,house,were,were,1,11,1,3,1
106,Melissa babysits the children of the musician who,Melissa babysits the children of the school who <mask>,who,plural,RoBERTa,large,RoBERTa-large,children,musician,school,were,were,1,29,11,5,3
107,Melissa dislikes the girls of the neighbor who,Melissa dislikes the girls of the school who <mask>,who,plural,RoBERTa,large,RoBERTa-large,girls,neighbor,school,were,were,1,0,18,5,4
108,Melissa watches the girls of the neighbor who,Melissa watches the girls of the school who <mask>,who,plural,RoBERTa,large,RoBERTa-large,girls,neighbor,school,were,were,1,219,6,5,2
109,Most of the patients liked the nurse of the surgeon who,Most of the patients liked the nurses of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nurse,surgeon,hospital,were,were,1,9,1,2,1
110,Mr. Johnson visited the servant of the actress who,Mr. Johnson visited the servants of the church who <mask>,who,plural,RoBERTa,large,RoBERTa-large,servant,actress,church,were,were,1,17,2,4,1
111,Mr. Miller ignored the student of the chemist who,Mr. Miller ignored the students of the university who <mask>,who,plural,RoBERTa,large,RoBERTa-large,student,chemist,university,were,were,1,40,1,5,1
112,My brother liked listening to the recording of the songs which,My brother liked listening to the recordings of the musician which <mask>,which,plural,RoBERTa,large,RoBERTa-large,recording,songs,musician,were,was,0,1,4,1,1
113,My farther visited the quarters of the soldiers which   ,My farther visited the quarters of the soldier which <mask>,which,plural,RoBERTa,large,RoBERTa-large,quarters,soldiers,soldiers,were,was,0,1,3,1,1
114,My friend met the aide of the detectives who,My friend met the aides of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,aide,detectives,office,were,were,1,10,3,2,1
115,My mother argued with the maid of the duchess who,My mother argued with the maids of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,maid,duchess,palace,were,were,1,22,2,5,1
116,My mother argued with the servant of the duchess who,My mother argued with the servants of the church who <mask>,who,plural,RoBERTa,large,RoBERTa-large,servant,duchess,church,were,were,1,11,1,3,1
117,Nick stood near the captain of the sailors who,Nick stood near the captains of the team who <mask>,who,plural,RoBERTa,large,RoBERTa-large,captain,sailors,team,were,were,1,5,11,1,3
118,Nobody noticed the bodyguard of the ambassadors who,Nobody noticed the bodyguards of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,bodyguard,ambassadors,palace,were,were,1,15,1,3,1
119,On the shelf I keep the box of the cover which,On the shelf I keep the boxes of the cleaner which <mask>,which,plural,RoBERTa,large,RoBERTa-large,box,cover,cleaner,were,was,0,20,24,4,5
120,Patricia saw the the teacher of the students who,Patricia saw the the teachers of the school who <mask>,who,plural,RoBERTa,large,RoBERTa-large,teacher,students,school,were,were,1,4,11,1,3
121,Paul listens to the coach of the cheerleaders who,Paul listens to the coaches of the team who <mask>,who,plural,RoBERTa,large,RoBERTa-large,coach,cheerleaders,team,were,were,1,64,21,5,5
122,Peter had a good time with the sister of the girl who,Peter had a good time with the sisters of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,sister,girl,house,were,were,1,14,1,3,1
123,Peter met the boyfriend of the host who,Peter met the boyfriends of the wedding who <mask>,who,plural,RoBERTa,large,RoBERTa-large,boyfriend,host,wedding,were,were,1,20,1,4,1
124,Peter met the friend of the teacher who,Peter met the friends of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,friend,teacher,house,were,were,1,14,1,3,1
125,Peter was looking at the book of the girl which   ,Peter was looking at the books of the author which <mask>,which,plural,RoBERTa,large,RoBERTa-large,book,girl,author,were,were,1,6,1,2,1
126,Peter went to a concert yesterday with the mother of the countess who,Peter went to a concert yesterday with the mothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,mother,countess,house,were,were,1,26,4,5,1
127,Rita failed as the advisor of the assistant who,Rita failed as the advisors of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,advisor,assistant,office,were,were,1,3,2,1,1
128,Robert yelled at the friend of the artist who,Robert yelled at the friends of the neighborhood who <mask>,who,plural,RoBERTa,large,RoBERTa-large,friend,artist,neighborhood,were,were,1,7,1,2,1
129,Roxanne read the review of the poems which,Roxanne read the reviews of the guide which <mask>,which,plural,RoBERTa,large,RoBERTa-large,review,poems,guides,were,were,1,16,4,4,1
130,Ryan resembles the captain of the sailors who,Ryan resembles the captains of the team who <mask>,who,plural,RoBERTa,large,RoBERTa-large,captain,sailors,team,were,were,1,61,10,5,2
131,Samuel was not content as the masseur of the skater who,Samuel was not content as the masseurs of the salon who <mask>,who,plural,RoBERTa,large,RoBERTa-large,masseur,skater,salon,were,were,1,10,2,2,1
132,Sandra chatted with the gardeners of the millionaire who,Sandra chatted with the gardeners of the garden who <mask>,who,plural,RoBERTa,large,RoBERTa-large,gardeners,millionaire,garden,were,were,1,27,3,5,1
133,Sara did the painting of the cove which,Sara did the paintings of the painter which <mask>,which,plural,RoBERTa,large,RoBERTa-large,painting,cove,painter,were,were,1,6,1,2,1
134,Sarah jogs with the uncle of the toddlers who,Sarah jogs with the uncles of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,uncle,toddlers,palace,were,were,1,69,3,5,1
135,Scott counted the fans of the singer who,Scott counted the fans of the club who <mask>,who,plural,RoBERTa,large,RoBERTa-large,fans,singer,club,were,were,1,44,1,5,1
136,Several men moved the machines of the factories which,Several men moved the machines of the model which <mask>,which,plural,RoBERTa,large,RoBERTa-large,machines,factories,models,were,were,1,3,1,1,1
137,Silvia did n't find the cover of the pot which,Silvia did n't find the covers of the guide which <mask>,which,plural,RoBERTa,large,RoBERTa-large,cover,pot,guides,were,were,1,4,1,1,1
138,Someone shot the servant of the actress who,Someone shot the servants of the church who <mask>,who,plural,RoBERTa,large,RoBERTa-large,servant,actress,church,were,were,1,9,1,2,1
139,Suzanne sold the painting of the beach which,Suzanne sold the paintings of the painter which <mask>,which,plural,RoBERTa,large,RoBERTa-large,painting,beach,painter,were,were,1,10,1,2,1
140,The abbot met the father of the monk who,The abbot met the fathers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,father,monk,house,were,were,1,31,2,5,1
141,The architect exhibited the drawing of the building which,The architect exhibited the drawings of the painter which <mask>,which,plural,RoBERTa,large,RoBERTa-large,drawing,building,painter,were,were,1,9,1,2,1
142,The architect sketched the foyer of the mansion which,The architect sketched the foyers of the doorman which <mask>,which,plural,RoBERTa,large,RoBERTa-large,foyer,mansion,doorman,were,were,1,8,2,2,1
143,The attorney defended the client of the realtor who,The attorney defended the clients of the company who <mask>,who,plural,RoBERTa,large,RoBERTa-large,client,realtor,company,were,were,1,10,11,2,3
144,The bartender served the cousin of the actor who,The bartender served the cousins of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,cousin,actor,house,were,were,1,19,1,4,1
145,The boss visited the uncle of the merchant who,The boss visited the uncles of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,uncle,merchant,palace,were,were,1,10,2,2,1
146,The boy climbed the fence of the house which,The boy climbed the fences of the neighbor which <mask>,which,plural,RoBERTa,large,RoBERTa-large,fence,house,neighbor,were,was,0,1,3,1,1
147,The boys laughed at the grandmother of the girl who,The boys laughed at the grandmothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,grandmother,girl,house,were,were,1,25,1,5,1
148,The boys poked fun at the nephew of the teacher who,The boys poked fun at the nephews of the palace who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nephew,teacher,palace,were,were,1,13,1,3,1
149,The boys poked fun at the niece of the teacher who,The boys poked fun at the writers of the poem who <mask>,who,plural,RoBERTa,large,RoBERTa-large,writer,teacher,poem,were,were,1,17,3,4,1
150,The brokers sold the stocks of the fund which,The brokers sold the stocks of the cashier which <mask>,which,plural,RoBERTa,large,RoBERTa-large,stocks,fund,cashiers,were,were,1,3,1,1,1
151,The busker warned the companion of the tramp who,The busker warned the companions of the company who <mask>,who,plural,RoBERTa,large,RoBERTa-large,companion,tramp,company,were,were,1,18,2,4,1
152,The cameraman adored the actor of the director who,The cameraman adored the actors of the movie who <mask>,who,plural,RoBERTa,large,RoBERTa-large,actor,director,movie,were,were,1,12,1,3,1
153,The cameraman adored the director of the actor who,The cameraman adored the directors of the university who <mask>,who,plural,RoBERTa,large,RoBERTa-large,director,actor,university,were,were,1,11,1,3,1
154,The cameraman glanced at the director of the actors who,The cameraman glanced at the directors of the university who <mask>,who,plural,RoBERTa,large,RoBERTa-large,director,actors,university,were,were,1,17,1,4,1
155,The cameraman hated the relative of the actor who,The cameraman hated the relatives of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,relative,actor,laboratory,were,were,1,3,1,1,1
156,The captain authorized the departure of the ship of the mast which,The captain authorized the departures of the ships of the secretary which <mask>,which,plural,RoBERTa,large,RoBERTa-large,ship,mast,secretary,were,were,1,4,2,1,1
157,The car stopped in front of the door of the house which,The car stopped in fronts of the doors of the doorman which <mask>,which,plural,RoBERTa,large,RoBERTa-large,door,house,doorman,were,was,0,11,3,3,1
158,The caretaker drove away the footballs of the boys which   ,The caretaker drove away the footballs of the footballer which <mask>,which,plural,RoBERTa,large,RoBERTa-large,footballs,boys,footballer,were,were,1,3,1,1,1
159,The chairman phoned the boss of the clerks who,The chairman phoned the bosses of the club who <mask>,who,plural,RoBERTa,large,RoBERTa-large,boss,clerks,club,were,were,1,38,6,5,2
160,The chancellor welcomed the advisor of the mayor who,The chancellor welcomed the advisors of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,advisor,mayor,office,were,were,1,33,2,5,1
161,The chef couldn't find the cover of the pans which,The chef could n't find the covers of the guide which <mask>,which,plural,RoBERTa,large,RoBERTa-large,cover,pans,guides,were,were,1,4,2,1,1
162,The chef hired the friend of the waiter who,The chef hired the friends of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,friend,waiter,house,were,were,1,9,1,2,1
163,The children followed the grandmother of the girl who,The children followed the grandmothers of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,grandmother,girl,house,were,were,1,17,1,4,1
164,The children were poking fun at the donkey of the milkman which   ,The children were poking fun at the donkeys of the tramp which <mask>,which,plural,RoBERTa,large,RoBERTa-large,donkey,milkman,tramp,were,was,0,2,3,1,1
165,The cleaning lady noticed the chief of the player who,The cleaning lady noticed the chiefs of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,chief,player,office,were,were,1,6,11,2,3
167,The clerk asked for the consultant of the economist who,The clerk asked for the consultants of the company who <mask>,who,plural,RoBERTa,large,RoBERTa-large,consultant,economist,company,were,were,1,9,4,2,1
169,The client asked for the clerk of the solicitors who,The client asked for the clerks of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,clerk,solicitors,office,were,were,1,22,6,5,2
170,The client missed the patron of the artist who,The client missed the patrons of the church who <mask>,who,plural,RoBERTa,large,RoBERTa-large,patron,artist,church,were,were,1,39,11,5,3
171,The coach looked at the footballer of the fans who,The coach looked at the footballers of the club who <mask>,who,plural,RoBERTa,large,RoBERTa-large,footballer,fans,club,were,were,1,16,1,4,1
172,The coach looked at the physiotherapist of the footballer who,The coach looked at the physiotherapists of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,physiotherapist,footballer,laboratory,were,were,1,20,3,4,1
174,The collector lost the picture of the house which,The collector lost the pictures of the model which <mask>,which,plural,RoBERTa,large,RoBERTa-large,picture,house,models,were,were,1,2,1,1,1
175,The cop greeted the son of the cook who,The cop greeted the sons of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,son,cook,house,were,were,1,13,1,3,1
176,The count ordered the steak of the sauce which,The count ordered the steaks of the cook which <mask>,which,plural,RoBERTa,large,RoBERTa-large,steak,sauce,cook,were,were,1,3,1,1,1
177,The crazy man hit the dog of the neighbor which   ,The crazy man hit the dogs of the boy which <mask>,which,plural,RoBERTa,large,RoBERTa-large,dog,neighbor,boy,were,was,0,2,3,1,1
178,The crewman cleaned the oar of the boat which,The crewman cleaned the oars of the tramp which <mask>,which,plural,RoBERTa,large,RoBERTa-large,oar,boat,tramp,were,was,0,11,5,3,1
179,The critics judge very harshly the lithograph of the park which,The critics judge very harshly the lithographs of the painter which <mask>,which,plural,RoBERTa,large,RoBERTa-large,lithograph,park,painter,were,were,1,38,3,5,1
180,The customer called to the assistants of the pharmacist who,The customer called to the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistants,pharmacist,laboratory,were,were,1,21,6,5,2
181,The customer spoke to the assistant of the pharmacist who,The customer spoke to the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistant,pharmacist,laboratory,were,were,1,22,7,5,2
182,The dean liked the secretary of the professor who,The dean liked the secretaries of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,secretary,professor,office,were,were,1,19,1,4,1
183,The dean looked at the emblem of the college which,The dean looked at the emblems of the prince which <mask>,which,plural,RoBERTa,large,RoBERTa-large,emblem,college,prince,were,were,1,6,1,2,1
184,The dean was thinking about the professor of the researcher who,The dean was thinking about the professors of the university who <mask>,who,plural,RoBERTa,large,RoBERTa-large,professor,researcher,university,were,were,1,16,11,4,3
185,The dean was thinking about the researcher of the professor who,The dean was thinking about the researchers of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,researcher,professor,laboratory,were,were,1,14,22,3,5
187,The designer agreed to show us the sketch of the house which,The designer agreed to show us the sketches of the artist which <mask>,which,plural,RoBERTa,large,RoBERTa-large,sketch,house,artist,were,were,1,10,1,2,1
188,The detective photographed the friend of the student who,The detective photographed the friends of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,friend,student,house,were,were,1,22,2,5,1
189,The detective photographed the suitcase of the student which   ,The detective photographed the suitcases of the groom which <mask>,which,plural,RoBERTa,large,RoBERTa-large,suitcase,student,groom,were,were,1,16,1,4,1
190,The detective pursued the bride of the prince who,The detective pursued the brides of the wedding who <mask>,who,plural,RoBERTa,large,RoBERTa-large,bride,prince,wedding,were,were,1,26,1,5,1
191,The director congratulated the instructor of the boy who,The director congratulated the instructors of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,instructor,boy,laboratory,were,were,1,30,1,5,1
193,The director discussed the set of the movie which,The director discussed the sets of the builder which <mask>,which,plural,RoBERTa,large,RoBERTa-large,set,movie,builder,were,were,1,8,3,2,1
194,The director looked at the artists of the actress who,The director looked at the artists of the song who <mask>,who,plural,RoBERTa,large,RoBERTa-large,artists,actress,songs,were,were,1,13,1,3,1
195,The director noticed the hairdresser of the actress who,The director noticed the hairdressers of the salon who <mask>,who,plural,RoBERTa,large,RoBERTa-large,hairdresser,actress,salon,were,were,1,6,1,2,1
196,The director spoke to the actor of the cameraman who,The director spoke to the actors of the movie who <mask>,who,plural,RoBERTa,large,RoBERTa-large,actor,cameraman,movie,were,were,1,29,3,5,1
197,The doctor contacted the lawyers of the nurses who,The doctor contacted the lawyers of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,lawyers,nurses,office,were,were,1,33,4,5,1
198,The doctor contacted the nurses of the lawyer who,The doctor contacted the nurses of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nurses,lawyer,hospital,were,were,1,27,6,5,2
199,The doctor examined the nurse of the pupil who,The doctor examined the nurses of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nurse,pupil,hospital,were,were,1,17,2,4,1
200,The doctor met the son of the colonel who,The doctor met the sons of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,son,colonel,house,were,were,1,20,1,4,1
201,The doctor observed the attorney of the consultant who,The doctor observed the attorneys of the office who <mask>,who,plural,RoBERTa,large,RoBERTa-large,attorney,consultant,office,were,were,1,10,11,2,3
202,The doctor recognized the nurse of the patient who,The doctor recognized the nurses of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nurse,patient,hospital,were,were,1,7,1,2,1
203,The doctor smiled at the nurses of the patient who,The doctor smiled at the nurses of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,nurses,patient,hospital,were,were,1,12,2,3,1
204,The dog barked at the football of the boy which   ,The dog barked at the footballs of the footballer which <mask>,which,plural,RoBERTa,large,RoBERTa-large,football,boy,footballer,were,was,0,1,3,1,1
205,The dog barked at the niece of the empress who,The dog barked at the writers of the poem who <mask>,who,plural,RoBERTa,large,RoBERTa-large,writer,empress,poem,were,were,1,10,11,2,3
206,The doorman was talking to the sister of the nurse who,The doorman was talking to the sisters of the house who <mask>,who,plural,RoBERTa,large,RoBERTa-large,sister,nurse,house,were,were,1,7,11,2,3
207,The dressmaker was sewing the dress of the girl which   ,The dressmaker was sewing the dresses of the hairdresser which <mask>,which,plural,RoBERTa,large,RoBERTa-large,dress,girl,hairdresser,were,was,0,11,3,3,1
208,The economist liked the journalist of the editor who,The economist liked the journalists of the university who <mask>,who,plural,RoBERTa,large,RoBERTa-large,journalist,editor,university,were,were,1,9,2,2,1
209,The emperor described the painting of the crown which,The emperor described the paintings of the painter which <mask>,which,plural,RoBERTa,large,RoBERTa-large,painting,crown,painter,were,were,1,8,11,2,3
210,The employee greeted the worker of the manager who,The employee greeted the workers of the hospital who <mask>,who,plural,RoBERTa,large,RoBERTa-large,worker,manager,hospital,were,were,1,12,1,3,1
211,The explosion deafened the assistant of the inspector who,The explosion deafened the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistant,inspector,laboratory,were,were,1,20,1,4,1
212,The explosion reached the assistant of the superintendent who,The explosion reached the assistants of the laboratory who <mask>,who,plural,RoBERTa,large,RoBERTa-large,assistant,superintendent,laboratory,were,were,1,16,1,4,1
213,The explosion reached the car of the teacher which   ,The explosion reached the cars of the driver which <mask>,which,plural,RoBERTa,large,RoBERTa-large,car,teacher,driver,were,were,1,2,1,1,1
